"DatGeracaoConjuntoDados";"DatCompetencia";"NomBandeiraAcionada";"VlrAdicionalBandeira"
"2026-08-10";"2015-01-01";"Vermelha P1";"30,00"
"2026-08-10";"2015-02-01";"Vermelha P1";"30,00"
"2026-08-10";"2015-03-01";"Vermelha P1";"55,00"
"2026-08-10";"2015-04-01";"Vermelha P1";"55,00"
"2026-08-10";"2015-05-01";"Vermelha P1";"55,00"
"2026-08-10";"2015-06-01";"Vermelha P1";"55,00"
"2026-08-10";"2015-07-01";"Vermelha P1";"55,00"
"2026-08-10";"2015-08-01";"Vermelha P1";"55,00"
"2026-08-10";"2015-09-01";"Vermelha P1";"45,00"
"2026-08-10";"2015-10-01";"Vermelha P1";"45,00"
"2026-08-10";"2015-11-01";"Vermelha P1";"45,00"
"2026-08-10";"2015-12-01";"Vermelha P1";"45,00"
"2026-08-10";"2016-01-01";"Vermelha P1";"45,00"
"2026-08-10";"2016-02-01";"Vermelha P2";"45,00"
"2026-08-10";"2016-03-01";"Amarela";"15,00"
"2026-08-10";"2016-04-01";"Verde";",00"
"2026-08-10";"2016-05-01";"Verde";",00"
"2026-08-10";"2016-06-01";"Verde";",00"
"2026-08-10";"2016-07-01";"Verde";",00"
"2026-08-10";"2016-08-01";"Verde";",00"
"2026-08-10";"2016-09-01";"Verde";",00"
"2026-08-10";"2016-10-01";"Verde";",00"
"2026-08-10";"2016-11-01";"Amarela";"15,00"
"2026-08-10";"2016-12-01";"Verde";",00"
"2026-08-10";"2017-01-01";"Verde";",00"
"2026-08-10";"2017-02-01";"Verde";",00"
"2026-08-10";"2017-03-01";"Amarela";"20,00"
"2026-08-10";"2017-04-01";"Vermelha P1";"30,00"
"2026-08-10";"2017-05-01";"Vermelha P1";"30,00"
"2026-08-10";"2017-06-01";"Verde";",00"
"2026-08-10";"2017-07-01";"Amarela";"20,00"
"2026-08-10";"2017-08-01";"Vermelha P1";"30,00"
"2026-08-10";"2017-09-01";"Amarela";"20,00"
"2026-08-10";"2017-10-01";"Vermelha P2";"35,00"
"2026-08-10";"2017-11-01";"Vermelha P2";"50,00"
"2026-08-10";"2017-12-01";"Vermelha P1";"30,00"
"2026-08-10";"2018-01-01";"Verde";",00"
"2026-08-10";"2018-02-01";"Verde";",00"
"2026-08-10";"2018-03-01";"Verde";",00"
"2026-08-10";"2018-04-01";"Verde";",00"
"2026-08-10";"2018-05-01";"Amarela";"10,00"
"2026-08-10";"2018-06-01";"Vermelha P2";"50,00"
"2026-08-10";"2018-07-01";"Vermelha P2";"50,00"
"2026-08-10";"2018-08-01";"Vermelha P2";"50,00"
"2026-08-10";"2018-09-01";"Vermelha P2";"50,00"
"2026-08-10";"2018-10-01";"Vermelha P2";"50,00"
