mes,bandeira,adicional_rl_mwh
2015-01,Vermelha P1,30.0
2015-02,Vermelha P1,30.0
2015-03,Vermelha P1,55.0
2015-04,Vermelha P1,55.0
2015-05,Vermelha P1,55.0
2015-06,Vermelha P1,55.0
2015-07,Vermelha P1,55.0
2015-08,Vermelha P1,55.0
2015-09,Vermelha P1,45.0
2015-10,Vermelha P1,45.0
2015-11,Vermelha P1,45.0
2015-12,Vermelha P1,45.0
2016-01,Vermelha P1,45.0
2016-02,Vermelha P2,45.0
2016-03,Amarela,15.0
2016-04,Verde,0.0
2016-05,Verde,0.0
2016-06,Verde,0.0
2016-07,Verde,0.0
2016-08,Verde,0.0
2016-09,Verde,0.0
2016-10,Verde,0.0
2016-11,Amarela,15.0
2016-12,Verde,0.0
2017-01,Verde,0.0
2017-02,Verde,0.0
2017-03,Amarela,20.0
2017-04,Vermelha P1,30.0
2017-05,Vermelha P1,30.0
2017-06,Verde,0.0
2017-07,Amarela,20.0
2017-08,Vermelha P1,30.0
2017-09,Amarela,20.0
2017-10,Vermelha P2,35.0
2017-11,Vermelha P2,50.0
2017-12,Vermelha P1,30.0
2018-01,Verde,0.0
2018-02,Verde,0.0
2018-03,Verde,0.0
2018-04,Verde,0.0
2018-05,Amarela,10.0
2018-06,Vermelha P2,50.0
2018-07,Vermelha P2,50.0
2018-08,Vermelha P2,50.0
2018-09,Vermelha P2,50.0
2018-10,Vermelha P2,50.0
2018-11,Amarela,10.0
2018-12,Verde,0.0
2019-01,Verde,0.0
2019-02,Verde,0.0
2019-03,Verde,0.0
2019-04,Verde,0.0
2019-05,Amarela,10.0
2019-06,Verde,0.0
2019-07,Amarela,15.0
2019-08,Vermelha P1,40.0
2019-09,Vermelha P1,40.0
2019-10,Amarela,15.0
2019-11,Vermelha P1,41.69
2019-12,Amarela,13.43
2020-01,Amarela,13.43
2020-02,Verde,0.0
2020-03,Verde,0.0
2020-04,Verde,0.0
2020-05,Verde,0.0
2020-06,Verde,0.0
2020-07,Verde,0.0
2020-08,Verde,0.0
2020-09,Verde,0.0
2020-10,Verde,0.0
2020-11,Verde,0.0
2020-12,Vermelha P2,62.43
2021-01,Amarela,13.43
2021-02,Amarela,13.43
2021-03,Amarela,13.43
2021-04,Amarela,13.43
2021-05,Vermelha P1,41.69
2021-06,Vermelha P2,62.43
2021-07,Vermelha P2,94.92
2021-08,Vermelha P2,94.92
2021-09,Escassez Hídrica,142.0
2021-10,Escassez Hídrica,142.0
2021-11,Escassez Hídrica,142.0
2021-12,Escassez Hídrica,142.0
2022-01,Escassez Hídrica,142.0
2022-02,Escassez Hídrica,142.0
2022-03,Escassez Hídrica,142.0
2022-04,Escassez Hídrica,71.0
2022-05,Verde,0.0
2022-06,Verde,0.0
2022-07,Verde,0.0
2022-08,Verde,0.0
2022-09,Verde,0.0
2022-10,Verde,0.0
2022-11,Verde,0.0
2022-12,Verde,0.0
2023-01,Verde,0.0
2023-02,Verde,0.0
2023-03,Verde,0.0
2023-04,Verde,0.0
2023-05,Verde,0.0
2023-06,Verde,0.0
2023-07,Verde,0.0
2023-08,Verde,0.0
2023-09,Verde,0.0
2023-10,Verde,0.0
2023-11,Verde,0.0
2023-12,Verde,0.0
2024-01,Verde,0.0
2024-02,Verde,0.0
2024-03,Verde,0.0
2024-04,Verde,0.0
2024-05,Verde,0.0
2024-06,Verde,0.0
2024-07,Amarela,18.85
2024-08,Verde,0.0
2024-09,Vermelha P1,44.63
2024-10,Vermelha P2,78.77
2024-11,Amarela,18.85
2024-12,Verde,0.0
2025-01,Verde,0.0
2025-02,Verde,0.0
2025-03,Verde,0.0
2025-04,Verde,0.0
2025-05,Amarela,18.85
2025-06,Vermelha P1,44.63
2025-07,Vermelha P1,44.63
2025-08,Vermelha P2,78.77
2025-09,Vermelha P2,78.77
2025-10,Vermelha P1,44.63
2025-11,Vermelha P1,44.63
2025-12,Amarela,18.85
2026-01,Verde,0.0
2026-02,Verde,0.0
2026-03,Verde,0.0
2026-04,Verde,0.0
2026-05,Amarela,18.85
2026-06,Amarela,18.85
2026-07,Amarela,18.85
2026-08,Amarela,18.85
